REEF_NAME,SECTOR,SHELF,LAT_DD,LON_DD,DATE,YEAR,YEARII,WEEK,WSSTA,TSASUMS_SM,PREV_1,CORAL_COVE,INC
MICHAELMA,CA,M,-16.54865,146.05,1/11/2004,2004,4-Mar,2,7,0,9,22.03025296,
MYRMIDON,TO,O,-18.25717,147.38127,4/27/1999,1999,98/99,17,24,0,0,38.6213635,
MYRMIDON,TO,O,-18.25717,147.38127,5/14/2000,2000,99/00,20,1,0,0,33.74036516,0
MYRMIDON,TO,O,-18.25717,147.38127,5/1/2001,2001,00/01,18,3,0,0,34.94691553,0
MYRMIDON,TO,O,-18.25717,147.38127,2/11/2002,2002,2-Jan,7,10,0,0,34.57640799,0
MYRMIDON,TO,O,-18.25717,147.38127,3/12/2003,2003,3-Feb,11,1,0,0,23.56397205,0
MYRMIDON,TO,O,-18.25717,147.38127,4/24/2004,2004,4-Mar,16,10,5,4,28.25871404,
NO NAME,CL,O,-14.62787,145.64533,10/9/1998,1998,98/99,40,8,0,3,59.15694239,
NO NAME,CL,O,-14.62787,145.64533,10/20/1999,1999,99/00,42,10,0,2,51.74181523,0
NO NAME,CL,O,-14.62787,145.64533,8/1/2000,2000,00/01,31,0,0,0,52.17049724,0
NO NAME,CL,O,-14.62787,145.64533,7/7/2001,2001,2-Jan,27,3,0,49,56.57762358,49
NO NAME,CL,O,-14.62787,145.64533,7/30/2002,2002,3-Feb,31,2,1,75,49.20807368,26
NO NAME,CL,O,-14.62787,145.64533,8/24/2003,2003,4-Mar,35,2,0,27,50.66257058,
NORTH DIR,CL,M,-14.74355,145.51577,10/20/1998,1998,98/99,42,18,0,2,16.23281351,
NORTH DIR,CL,M,-14.74355,145.51577,10/10/1999,1999,99/00,41,9,1,0,16.65494785,0
NORTH DIR,CL,M,-14.74355,145.51577,7/16/2000,2000,00/01,29,4,3,0,20.98015337,0
NORTH DIR,CL,M,-14.74355,145.51577,7/5/2001,2001,2-Jan,27,5,4,2,19.83266332,2
NORTH DIR,CL,M,-14.74355,145.51577,7/28/2002,2002,3-Feb,31,7,2,9,24.6343899,7
NORTH DIR,CL,M,-14.74355,145.51577,8/29/2003,2003,4-Mar,35,2,0,5,24.00208744,
ONE TREE,CB,O,-23.48365,152.08878,11/29/1998,1998,98/99,48,18,0,2,55.73836772,
ONE TREE,CB,O,-23.48365,152.08878,12/5/1999,1999,99/00,49,2,0,6,64.32231354,4
ONE TREE,CB,O,-23.48365,152.08878,9/15/2000,2000,00/01,37,1,0,3,67.00958238,0
ONE TREE,CB,O,-23.48365,152.08878,8/5/2001,2001,2-Jan,32,2,0,17,72.28348968,14
ONE TREE,CB,O,-23.48365,152.08878,9/17/2002,2002,3-Feb,38,13,2,336,76.13333333,319
ONE TREE,CB,O,-23.48365,152.08878,10/31/2003,2003,4-Mar,44,6,0,20,72.0925113,
