Occupied_Unoccupied,TotalCanopy,WildIndigoSize,NearestWildIndigo,DistanceNearestTree,DirectionTree,Slope,SlopeAspect
0,6.25,22.56,91,110,315,8,135
1,71.61,35.96,6,0,90,9,180
0,80.99,60,61,0,135,6,180
0,82.55,18.62,1,0,270,7,180
1,15.63,113.12,1,237,90,5,135
0,16.15,16.64,1,120,315,7,135
0,16.15,29.92,293,133,135,5,135
1,6.51,72.98,20,123,90,3,270
1,15.36,69.76,1,50,45,2,270
1,3.13,55.48,8,124,90,2,315
1,19.27,129.15,14,0,0,0,
1,26.04,58.8,1,44,90,0,
1,36.72,49.77,19,34,90,1,0
1,45.05,163.9,1,0,315,1,0
1,53.91,103.74,1,0,225,1,0
1,29.43,64.8,239,18,90,0,
0,53.91,99.84,1,0,315,0,
0,83.07,19.61,236,0,180,0,
1,18.23,33.63,37,8,315,0,
1,46.88,106.68,1,0,0,0,
0,66.41,20.28,1,0,45,0,
1,10.42,171.6,1,64,180,1,135
0,9.90,28.56,1,0,45,1,135
0,13.28,37.8,1,0,225,1,135
1,12.76,255.2,100,130,270,4,135
0,0.00,23.46,17,290,225,7,135
0,0.78,18.24,1,223,270,7,135
0,67.71,32.94,260,0,315,0,
0,52.86,34.45,369,0,45,0,
0,3.13,22.62,154,170,45,0,
0,52.08,55.18,113,0,180,4,315
0,66.15,36.72,134,0,225,5,315
0,76.30,54.81,18,0,45,4,315
0,0.00,231.87,1,870,180,2,90
0,0.00,24.78,15,390,180,1,90
0,0.00,105.56,1,690,225,1,45
1,12.24,78.12,1,34,0,5,135
0,0.00,15.99,76,570,270,3,135
0,81.25,15.54,109,0,45,3,90
0,75.78,21.93,64,0,45,2,90
1,27.08,61.88,59,140,45,1,135
0,2.60,69.58,22,420,0,3,90
0,34.11,21.6,1,0,270,6,90
0,7.03,28.8,16,160,225,11,135
0,84.90,17.92,94,0,45,8,135
0,66.67,31.2,64,0,0,12,135
0,0.00,149.1,1,1270,315,6,180
0,0.00,49.64,1,1080,225,7,180
0,0.00,176.88,1,1370,225,7,180
1,2.60,112.53,48,170,135,11,225
0,0.00,37.8,105,380,315,14,225
0,0.00,76.44,220,990,315,8,270
0,7.55,62.25,1,221,45,4,225
0,10.68,19.8,1,100,135,4,225
1,55.21,240.47,1,0,315,5,270
1,67.19,80.91,8,0,270,5,270
0,87.24,17.1,6,0,180,3,225
1,19.27,47.58,1,260,135,2,225
1,24.22,43.4,1,340,135,3,225
0,79.17,28.98,1,0,45,6,270
0,0.00,143.55,1,1250,135,8,225
0,0.00,55.5,8,1110,135,8,225
0,0.00,18.62,148,1460,315,1,270
0,0.00,17.22,301,1040,315,2,225
0,4.69,149.46,17,182,45,1,180
0,77.08,22.26,192,2000,90,0
1,9.90,67.28,1,49,90,0
1,29.43,68.62,1,0,90,0
1,25.52,64.08,1,29,0,0
0,2.34,20.64,1,90,0,0
1,28.39,30.53,1,120,135,0
1,10.94,59.13,1,300,0,0
1,7.29,139.86,1,160,225,0
1,19.79,66.42,38,150,180,0
1,23.44,38.76,1,0,180,0
1,7.55,98.4,1,239,270,0
1,22.92,79.56,108,240,180,0
0,20.31,28.5,1,0,90,0
1,9.64,260.15,1,10,225,0
1,19.79,154.78,1,0,180,0
1,47.66,28.32,58,0,270,0
1,3.13,122.82,1,210,180,0
1,5.21,235.42,1,31,180,0
1,0.26,268.38,1,213,225,0
0,0.00,20.79,11,2660,90,0
0,0.00,60.52,1,3050,45,0
0,0.00,153.47,1,5070,225,0
0,0.00,64.97,41,5170,225,0
0,0.00,70.98,1,930,45,0
0,0.00,137.06,165,650,45,0
1,3.65,130.54,1,31,0,0
1,15.36,67.64,1,0,270,0
0,0.00,20.16,23,410,45,0
0,0.00,102.34,1,260,315,0
0,0.00,29.61,8,470,135,0
0,0.00,86.94,1,170,135,0
1,29.17,250.48,1,0,270,0
0,0.00,16.38,12,341,270,0,
0,70.05,22.96,104,0,45,1,135
0,69.01,38.5,22,0,135,1,135
1,8.85,62.32,1,98,45,2,135
1,24.74,91.02,8,0,0,0,
0,57.81,22.08,1,0,315,0,
0,0.00,27.36,206,1538,180,0,
0,0.00,17.1,94,1360,225,0,
0,0.00,79.1,1,2480,135,0,
0,0.00,16.8,18,2380,135,0,
0,1.04,15.91,148,7,270,1,315
0,0.00,17.86,15,281,180,2,315
1,0.00,272.48,1,1260,45,0,
0,0.00,21,6,1280,0,0,
0,0.00,20.14,1,4610,315,0,
0,0.00,118.37,127,4250,315,0,
0,0.00,168.54,1,7200,180,0,
0,0.00,66.75,1,7500,180,0,
1,0.00,241.8,1,7760,135,0,
0,0.00,22.62,19,8170,45,0,
1,8.59,93.1,1,0,90,2,90
1,80.99,38.48,41,0,270,3,135
0,10.94,21.84,29,0,315,2,135
1,9.90,105.78,59,0,180,1,45
0,0.00,17.48,1,413,180,1,45
0,18.23,18.56,380,0,180,1,45
0,0.00,31.62,1,1890,135,0,
0,0.00,78.96,8,1790,135,0,
0,0.00,21.42,21,2440,315,0,
0,0.00,75.48,1,2250,315,0,
0,0.00,179.58,260,3610,270,1,135
0,0.00,107.88,1,430,315,1,180
0,0.00,15.91,16,495,315,0
1,0.00,91.56,1,220,315,0
1,0.00,24.99,1,340,0,0
0,0.00,18.9,12,302,0,0
0,42.19,104.04,84,0,90,0
0,70.31,17.98,351,0,135,0
0,0.00,18.72,1,2480,225,0
