PolyFID,Owner,X,Y,burn50,rx_cat3,zmin_d_a,zmin_di,zm_mcov,zm_ccov,Hectares,zmin_drd,prop_timb,Prop_no_b,zmin_dr,zmin_ddv,year
744,Wildlife Resources Commission,726511.5704,79254.81492,0,4,0.61846582,2.379285644,42.479663,8.07345,2.865781,4.425381347,0,1,0.57,2.661897705,2004
744,Wildlife Resources Commission,726511.5704,79254.81492,0,4,0.61846582,2.379285644,42.479663,8.07345,2.865781,4.425381347,0,1,0.57,2.661897705,2005
744,Wildlife Resources Commission,726511.5704,79254.81492,0,4,0.61846582,2.379285644,42.479663,8.07345,2.865781,4.425381347,0,1,0.57,2.661897705,2006
744,Wildlife Resources Commission,726511.5704,79254.81492,0,4,0.61846582,2.379285644,42.479663,8.07345,2.865781,4.425381347,0,1,0.57,2.661897705,2007
746,Wildlife Resources Commission,726653.4236,78548.38475,0,1,0,3.103949218,12.315329,10.918672,3.55005,3.631487304,0,0,0,2.093131591,2004
746,Wildlife Resources Commission,726653.4236,78548.38475,1,2,0,3.103949218,12.315329,10.918672,3.55005,3.631487304,0,0,0,2.093131591,2005
746,Wildlife Resources Commission,726653.4236,78548.38475,0,1,0,3.103949218,12.315329,10.918672,3.55005,3.631487304,0,0,0,2.093131591,2006
746,Wildlife Resources Commission,726653.4236,78548.38475,0,2,0,3.103949218,12.315329,10.918672,3.55005,3.631487304,0,0,0,2.093131591,2007
764,Wildlife Resources Commission,731878.147,80049.04945,0,2,0.53075415,0,1.814974,4.146407,7.877533,4.188090332,0.194223,0.045699,0,0.976729248,2004
764,Wildlife Resources Commission,731878.147,80049.04945,1,2,0.53075415,0,1.814974,4.146407,7.877533,4.188090332,0.194223,0.045699,0,0.976729248,2005
764,Wildlife Resources Commission,731878.147,80049.04945,0,1,0.53075415,0,1.814974,4.146407,7.877533,4.188090332,0.194223,0.045699,0,0.976729248,2006
764,Wildlife Resources Commission,731878.147,80049.04945,0,2,0.53075415,0,1.814974,4.146407,7.877533,4.188090332,0.194223,0.045699,0,0.976729248,2007
766,Wildlife Resources Commission,735464.622,84161.94096,0,4,5.391743652,4.362499511,14.143239,9.05496,1.192327,4.85091748,0,1,4.35,4.554667968,2004
766,Wildlife Resources Commission,735464.622,84161.94096,0,4,5.391743652,4.362499511,14.143239,9.05496,1.192327,4.85091748,0,1,4.35,4.554667968,2005
766,Wildlife Resources Commission,735464.622,84161.94096,0,4,5.391743652,4.362499511,14.143239,9.05496,1.192327,4.85091748,0,1,4.35,4.554667968,2006
766,Wildlife Resources Commission,735464.622,84161.94096,0,4,5.391743652,4.362499511,14.143239,9.05496,1.192327,4.85091748,0,1,4.35,4.554667968,2007
779,Wildlife Resources Commission,732408.4268,92105.37871,0,4,1.002646484,3.403909423,7.853568,2.595425,1.444107,6.543714355,0,0.997156,1.018675598,6.634885253,2004
779,Wildlife Resources Commission,732408.4268,92105.37871,0,4,1.002646484,3.403909423,7.853568,2.595425,1.444107,6.543714355,0,0.997156,1.018675598,6.634885253,2005
779,Wildlife Resources Commission,732408.4268,92105.37871,0,4,1.002646484,3.403909423,7.853568,2.595425,1.444107,6.543714355,0,0.997156,1.018675598,6.634885253,2006
779,Wildlife Resources Commission,732408.4268,92105.37871,0,4,1.002646484,3.403909423,7.853568,2.595425,1.444107,6.543714355,0,0.997156,1.018675598,6.634885253,2007
780,Wildlife Resources Commission,731995.398,90634.55391,0,1,0,1.975677124,7.208133,2.689655,3.299084,7.2008125,0,0.109121,0,6.739925781,2004
780,Wildlife Resources Commission,731995.398,90634.55391,0,2,0,1.975677124,7.208133,2.689655,3.299084,7.2008125,0,0.109121,0,6.739925781,2005
780,Wildlife Resources Commission,731995.398,90634.55391,1,2,0,1.975677124,7.208133,2.689655,3.299084,7.2008125,0,0.109121,0,6.739925781,2006
780,Wildlife Resources Commission,731995.398,90634.55391,0,1,0,1.975677124,7.208133,2.689655,3.299084,7.2008125,0,0.109121,0,6.739925781,2007
786,Wildlife Resources Commission,725723.8621,88284.90802,0,1,0.967470947,0.553172668,1.760755,0.609968,27.903766,5.904438964,0,0.003225,0,0.759539306,2004
786,Wildlife Resources Commission,725723.8621,88284.90802,0,2,0.967470947,0.553172668,1.760755,0.609968,27.903766,5.904438964,0,0.003225,0,0.759539306,2005
786,Wildlife Resources Commission,725723.8621,88284.90802,0,2,0.967470947,0.553172668,1.760755,0.609968,27.903766,5.904438964,0,0.003225,0,0.759539306,2006
786,Wildlife Resources Commission,725723.8621,88284.90802,1,3,0.967470947,0.553172668,1.760755,0.609968,27.903766,5.904438964,0,0.003225,0,0.759539306,2007
816,Wildlife Resources Commission,722935.1859,87615.78976,0,4,3.433132568,0.913892761,15.569,4.327729,1.634532,4.275184082,0,1,1.753909912,0.362491394,2004
816,Wildlife Resources Commission,722935.1859,87615.78976,0,4,3.433132568,0.913892761,15.569,4.327729,1.634532,4.275184082,0,1,1.753909912,0.362491394,2005
816,Wildlife Resources Commission,722935.1859,87615.78976,0,4,3.433132568,0.913892761,15.569,4.327729,1.634532,4.275184082,0,1,1.753909912,0.362491394,2006
816,Wildlife Resources Commission,722935.1859,87615.78976,0,4,3.433132568,0.913892761,15.569,4.327729,1.634532,4.275184082,0,1,1.753909912,0.362491394,2007
855,Wildlife Resources Commission,733779.1249,79341.09197,0,4,1.171537475,1.640152465,15.362627,1.304063,1.833197,2.446241943,0,1,0.589406494,1.656804199,2004
855,Wildlife Resources Commission,733779.1249,79341.09197,0,4,1.171537475,1.640152465,15.362627,1.304063,1.833197,2.446241943,0,1,0.589406494,1.656804199,2005
855,Wildlife Resources Commission,733779.1249,79341.09197,0,4,1.171537475,1.640152465,15.362627,1.304063,1.833197,2.446241943,0,1,0.589406494,1.656804199,2006
855,Wildlife Resources Commission,733779.1249,79341.09197,0,4,1.171537475,1.640152465,15.362627,1.304063,1.833197,2.446241943,0,1,0.589406494,1.656804199,2007
857,Wildlife Resources Commission,735849.2021,83318.29558,0,4,4.903967773,3.960227294,15.493795,2.562353,3.50982,4.160384765,0,1,3.934119873,4.185618164,2004
857,Wildlife Resources Commission,735849.2021,83318.29558,0,4,4.903967773,3.960227294,15.493795,2.562353,3.50982,4.160384765,0,1,3.934119873,4.185618164,2005
857,Wildlife Resources Commission,735849.2021,83318.29558,0,4,4.903967773,3.960227294,15.493795,2.562353,3.50982,4.160384765,0,1,3.934119873,4.185618164,2006
857,Wildlife Resources Commission,735849.2021,83318.29558,0,4,4.903967773,3.960227294,15.493795,2.562353,3.50982,4.160384765,0,1,3.934119873,4.185618164,2007
858,Wildlife Resources Commission,736061.703,83026.67295,0,4,4.921645996,3.99676123,37.880245,8.713406,1.382075,3.663440917,0,1,3.968400146,3.669577636,2004
858,Wildlife Resources Commission,736061.703,83026.67295,0,4,4.921645996,3.99676123,37.880245,8.713406,1.382075,3.663440917,0,1,3.968400146,3.669577636,2005
858,Wildlife Resources Commission,736061.703,83026.67295,0,4,4.921645996,3.99676123,37.880245,8.713406,1.382075,3.663440917,0,1,3.968400146,3.669577636,2006
858,Wildlife Resources Commission,736061.703,83026.67295,0,4,4.921645996,3.99676123,37.880245,8.713406,1.382075,3.663440917,0,1,3.968400146,3.669577636,2007
860,Wildlife Resources Commission,738471.4393,80962.50303,0,4,6.110359863,5.677931152,3.29958,0.05698,1.399957,0.818840637,0,0.964314,5.579838867,0.840535522,2004
860,Wildlife Resources Commission,738471.4393,80962.50303,0,4,6.110359863,5.677931152,3.29958,0.05698,1.399957,0.818840637,0,0.964314,5.579838867,0.840535522,2005
860,Wildlife Resources Commission,738471.4393,80962.50303,0,4,6.110359863,5.677931152,3.29958,0.05698,1.399957,0.818840637,0,0.964314,5.579838867,0.840535522,2006
860,Wildlife Resources Commission,738471.4393,80962.50303,0,4,6.110359863,5.677931152,3.29958,0.05698,1.399957,0.818840637,0,0.964314,5.579838867,0.840535522,2007
875,Wildlife Resources Commission,738362.3158,80639.69284,0,4,5.8328208,5.520326171,1.679985,0.8172,1.223772,0.670820373,0,1,5.324556152,0.684762756,2004
875,Wildlife Resources Commission,738362.3158,80639.69284,0,4,5.8328208,5.520326171,1.679985,0.8172,1.223772,0.670820373,0,1,5.324556152,0.684762756,2005
875,Wildlife Resources Commission,738362.3158,80639.69284,0,4,5.8328208,5.520326171,1.679985,0.8172,1.223772,0.670820373,0,1,5.324556152,0.684762756,2006
875,Wildlife Resources Commission,738362.3158,80639.69284,0,4,5.8328208,5.520326171,1.679985,0.8172,1.223772,0.670820373,0,1,5.324556152,0.684762756,2007
876,Wildlife Resources Commission,739133.3409,81208.08804,0,4,6.613962402,6.192293457,1.501909,0.166773,7.325636,0.566038879,0,1,5.366060058,0.573149169,2004
