Plot,SPP,U,V,W,date,truecover,logw
562,CARPCAR,16,8.858267717,4.565135955,1999,2,1.518448296
562,CARYALB,6,4.921259843,5.706419944,1999,2,1.741591847
562,ILEXOPAO,1,2.460629921,4.755349953,1999,2,1.55927029
562,JUNIVIR,6,3.937007874,2.662995974,1999,2,0.979451795
562,NYSSSYL,1,2.460629921,4.755349953,1999,2,1.55927029
562,PRUNSER,6,3.937007874,2.662995974,1999,2,0.979451795
562,QUERVEL,1,3.44488189,9.320485908,1999,2,2.232214763
562,VITIROT,5,2.460629921,0.951069991,1999,2,-0.050167622
564,ILEXDECD,2,2.952755906,3.423851966,2000,2,1.230766223
564,NYSSSYL,9,10.33464567,13.88562186,2000,2,2.630853906
564,PINUECH,1,9.350393701,68.66725332,2000,2,4.229272424
564,QUERPHE,10,4.921259843,1.902139981,2000,2,0.642979558
564,QUERVEL,16,8.858267717,4.565135955,2000,2,1.518448296
570,CARPCAR,1,1.476377953,1.711925983,1999,2,0.537619043
570,CELTOCC,5,2.460629921,0.951069991,1999,2,-0.050167622
570,DIOSVIR,5,2.460629921,0.951069991,1999,2,-0.050167622
570,ILEXOPAO,1,2.460629921,4.755349953,1999,2,1.55927029
570,NYSSSYL,1,3.44488189,9.320485908,1999,2,2.232214763
570,OSTRVIR,1,4.429133858,15.40733385,1999,2,2.73484362
570,PRUNAME,5,2.460629921,0.951069991,1999,2,-0.050167622
570,PRUNSER,1,1.476377953,1.711925983,1999,2,0.537619043
570,QUERVEL,1,1.476377953,1.711925983,1999,2,0.537619043
570,VIBUACE,5,2.460629921,0.951069991,1999,2,-0.050167622
574,LIQUSTY,5,2.460629921,0.951069991,2000,2,-0.050167622
574,PRUNSER,15,7.381889764,2.853209972,2000,2,1.048444666
576,JUNIVIR,5,2.460629921,0.951069991,2000,2,-0.050167622
577,BETUNIG,1,5.413385827,23.01589377,2000,2,3.136185011
577,CHIOVIR,6,3.937007874,2.662995974,2000,2,0.979451795
577,JUNIVIR,7,8.366141732,18.07032982,2000,2,2.894271357
577,MORURUB,5,2.460629921,0.951069991,2000,2,-0.050167622
577,QUERALB,1,1.476377953,1.711925983,2000,2,0.537619043
577,QUERPHE,5,2.460629921,0.951069991,2000,2,-0.050167622
577,ULMUALA,15,7.381889764,2.853209972,2000,2,1.048444666
578,CARYOVT,6,4.921259843,5.706419944,2000,2,1.741591847
578,FAGUGRA,3,6.397637795,12.74433787,2000,2,2.545087085
578,ILEXOPAO,5,2.460629921,0.951069991,2000,2,-0.050167622
578,MORURUB,10,4.921259843,1.902139981,2000,2,0.642979558
578,QUERRUB,5,2.460629921,0.951069991,2000,2,-0.050167622
578,ULMUALA,2,2.952755906,3.423851966,2000,2,1.230766223
578,ULMUAME,2,9.842519685,38.42322762,2000,2,3.648662163
578,ULMURUB,12,23.62204724,78.36816723,2000,2,4.361417815
578,VITIAES,4,12.79527559,34.23851966,2000,2,3.533351316
579,CELTOCC,1,1.476377953,1.711925983,2000,2,0.537619043
579,CHIOVIR,15,7.381889764,2.853209972,2000,2,1.048444666
579,EUONAME,5,2.460629921,0.951069991,2000,2,-0.050167622
579,FAGUGRA,6,3.937007874,2.662995974,2000,2,0.979451795
